code,en,no,de,el,es,it,nl,pl,sl
A0DPC,Beetroots and similar-,Rødbeter og lignende,Rote Bete und ähnliche,Παντζάρια και παρόμοια,Remolachas y similares,Barbabietole e simili,Rode bieten en soortgelijke,Buraki i podobne,Rdeča pesa in podobno
A0DPH,Sweet potatoes and similar-,Søtpoteter og lignende,Süßkartoffeln und ähnliche,Γλυκοπατάτες και παρόμοια,Boniatos y similares,Patate dolci e simili,Zoete aardappelen en soortgelijke,Bataty i podobne,Sladki krompir in podobno
A0DPP,Potatoes and similar-,Poteter og lignende,Kartoffeln und ähnliche,Πατάτες και παρόμοια,Patatas y similares,Patate e simili,Aardappelen en soortgelijke,Ziemniaki i podobne,Krompir in podobno
A0DPV,Pineapples and similar-,Ananas og lignende,Ananas und ähnliche,Ανανάς και παρόμοια,Piñas y similares,Ananas e simili,Ananassen en soortgelijke,Ananasy i podobne,Ananas in podobno
A0DQC,Granate apples and similar-,Granatepler og lignende,Granatäpfel und ähnliche,Ρόδια και παρόμοια,Granadas y similares,Melograni e simili,Granaatappels en soortgelijke,Granaty i podobne,Granatna jabolka in podobno
A0DQE,Papayas and similar-,Papaya og lignende,Papayas und ähnliche,Παπάγια και παρόμοια,Papayas y similares,Papaie e simili,Papaja's en soortgelijke,Papaje i podobne,Papaje in podobno
A0DQF,Mangoes and similar-,Mango og lignende,Mangos und ähnliche,Μάνγκο και παρόμοια,Mangos y similares,Manghi e simili,Mango's en soortgelijke,Mango i podobne,Mango in podobno
A0DQP,Avocados and similar-,Avokado og lignende,Avocados und ähnliche,Αβοκάντο και παρόμοια,Aguacates y similares,Avocado e simili,Avocado's en soortgelijke,Awokado i podobne,Avokado in podobno
A0DRB,Passionfruits and similar-,Pasjonsfrukt og lignende,Passionsfrüchte und ähnliche,Φρούτα του πάθους και παρόμοια,Frutas de la pasión y similares,Frutti della passione e simili,Passievruchten en soortgelijke,Marakuja i podobne,Marakuja in podobno
A0DRG,Kiwi fruits and similar-,Kiwi og lignende,Kiwis und ähnliche,Ακτινίδια και παρόμοια,Kiwis y similares,Kiwi e simili,Kiwi's en soortgelijke,Kiwi i podobne,Kivi in podobno
A0DRY,Figs and similar-,Fikener og lignende,Feigen und ähnliche,Σύκα και παρόμοια,Higos y similares,Fichi e simili,Vijgen en soortgelijke,Figi i podobne,Fige in podobno
A0DSB,Dates and similar-,Dadler og lignende,Datteln und ähnliche,Χουρμάδες και παρόμοια,Dátiles y similares,Datteri e simili,Dadels en soortgelijke,Daktyle i podobne,Datlji in podobno
A0DSV,Currants and similar-,Solbær og rips og lignende,Johannisbeeren und ähnliche,Φραγκοστάφυλα και παρόμοια,Grosellas y similares,Ribes e simili,Aalbessen en soortgelijke,Porzeczki i podobne,Ribez in podobno
A0DTY,Blackberries and similar-,Bjørnebær og lignende,Brombeeren und ähnliche,Βατόμουρα και παρόμοια,Moras y similares,More e simili,Bramen en soortgelijke,Jeżyny i podobne,Robide in podobno
A0DVE,Table grapes and similar-,Spisedruer og lignende,Tafeltrauben und ähnliche,Επιτραπέζια σταφύλια και παρόμοια,Uvas de mesa y similares,Uva da tavola e simili,Tafeldruiven en soortgelijke,Winogrona stołowe i podobne,Namizno grozdje in podobno
A0DVX,Apricots and similar-,Aprikoser og lignende,Aprikosen und ähnliche,Βερίκοκα και παρόμοια,Albaricoques y similares,Albicocche e simili,Abrikozen en soortgelijke,Morele i podobne,Marelice in podobno
A0DVZ,Medlars and similar-,Mispel og lignende,Mispeln und ähnliche,Μούσμουλα και παρόμοια,Nísperos y similares,Nespole e simili,Mispels en soortgelijke,Nieszpułka i podobne,Nešplje in podobno
A0DXJ,Walnuts and similar-,Valnøtter og lignende,Walnüsse und ähnliche,Καρύδια και παρόμοια,Nueces y similares,Noci e simili,Walnoten en soortgelijke,Orzechy włoskie i podobne,Orehi in podobno
A0DXK,Pistachios and similar-,Pistasjnøtter og lignende,Pistazien und ähnliche,Φιστίκια Αιγίνης και παρόμοια,Pistachos y similares,Pistacchi e simili,Pistachenoten en soortgelijke,Pistacje i podobne,Pistacije in podobno
A0DXX,Pecans and similar-,Pekannøtter og lignende,Pekannüsse und ähnliche,Πεκάν και παρόμοια,Nueces pecanas y similares,Noci pecan e simili,Pecannoten en soortgelijke,Orzechy pekan i podobne,Pekan orehi in podobno
A0DYA,Macadamias and similar-,Macadamianøtter og lignende,Macadamianüsse und ähnliche,Μακαντάμια και παρόμοια,Nueces de macadamia y similares,Noci di macadamia e simili,Macadamianoten en soortgelijke,Orzechy makadamia i podobne,Makadamija in podobno
A0DYD,Coconuts and similar-,Kokosnøtter og lignende,Kokosnüsse und ähnliche,Καρύδες και παρόμοια,Cocos y similares,Noci di cocco e simili,Kokosnoten en soortgelijke,Orzechy kokosowe i podobne,Kokosovi orehi in podobno
A0DYJ,Chestnuts and similar-,Kastanjer og lignende,Esskastanien und ähnliche,Κάστανα και παρόμοια,Castañas y similares,Castagne e simili,Kastanjes en soortgelijke,Kasztany jadalne i podobne,Kostanji in podobno
A0DYK,Cashew nuts and similar-,Cashewnøtter og lignende,Cashewnüsse und ähnliche,Κάσιους και παρόμοια,Anacardos y similares,Anacardi e simili,Cashewnoten en soortgelijke,Nerkowce i podobne,Indijski oreščki in podobno
A0DYL,Brazil nuts and similar-,Paranøtter og lignende,Paranüsse und ähnliche,Καρύδια Βραζιλίας και παρόμοια,Nueces de Brasil y similares,Noci del Brasile e simili,Paranoten en soortgelijke,Orzechy brazylijskie i podobne,Brazilski oreščki in podobno
A0DYP,Almonds and similar-,Mandler og lignende,Mandeln und ähnliche,Αμύγδαλα και παρόμοια,Almendras y similares,Mandorle e simili,Amandelen en soortgelijke,Migdały i podobne,Mandlji in podobno
A0DYX,Limes and similar-,Lime og lignende,Limetten und ähnliche,Λάιμ και παρόμοια,Limas y similares,Lime e simili,Limoenen en soortgelijke,Limonki i podobne,Limete in podobno
A0EQP,Soft candies and analogues,Myke godterier,Weichkaramellen,Μαλακές καραμέλες,Caramelos blandos,Caramelle morbide,Zachte snoep,Cukierki miękkie,Mehki bonboni
A0EQQ,Candies (soft and hard),Godterier,Bonbons,Καραμέλες,Caramelos,Caramelle,Snoep,Cukierki,Bonboni
A0EQR,Sweet bars and other formed sweet masses,Søte barer,Süßwarenriegel,Γλυκές μπάρες,Barritas dulces,Barrette dolci,Zoete repen,Batony słodkie,Sladke ploščice
A0EQS,Chocolate/cocoa-based products,Sjokolade- og kakaoprodukter,Schokoladen- und Kakaoerzeugnisse,Προϊόντα σοκολάτας και κακάο,Productos de chocolate y cacao,Prodotti a base di cioccolato e cacao,Chocolade- en cacaoproducten,Wyroby czekoladowe i kakaowe,Čokoladni in kakavovi izdelki
A0ERE,Filled (stuffed) pastas,Fylt pasta,Gefüllte Nudeln,Γεμιστά ζυμαρικά,Pasta rellena,Pasta ripiena,Gevulde pasta,Makaron nadziewany,Polnjene testenine
A0ERG,Herbs/spices sauces,Urte- og kryddersauser,Kräuter- und Gewürzsoßen,Σάλτσες βοτάνων και μπαχαρικών,Salsas de hierbas y especias,Salse alle erbe e spezie,Kruiden- en specerijensauzen,Sosy ziołowo-przyprawowe,Zeliščne in začimbne omake
A0ESV,Basils and mints,Basilikum og mynte,Basilikum und Minze,Βασιλικός και δυόσμος,Albahacas y mentas,Basilico e menta,Basilicum en munt,Bazylia i mięta,Bazilika in meta
A0ETQ,Canned/jarred vegetables,Hermetiske grønnsaker,Gemüsekonserven,Λαχανικά κονσέρβας,Verduras en conserva,Verdure in scatola,Groenten in blik of pot,Warzywa konserwowe,Konzervirana zelenjava
A0ETS,Candied or sugar preserved vegetables,Kandiserte grønnsaker,Kandiertes Gemüse,Ζαχαρωμένα λαχανικά,Verduras confitadas,Verdure candite,Gekonfijte groenten,Warzywa kandyzowane,Kandirana zelenjava
A0ETT,Fermented vegetables,Fermenterte grønnsaker,Fermentiertes Gemüse,Ζυμωμένα λαχανικά,Verduras fermentadas,Verdure fermentate,Gefermenteerde groenten,Warzywa kiszone,Fermentirana zelenjava
A0EVA,Liquid extract of plant origin,Flytende planteekstrakt,Flüssiger Pflanzenextrakt,Υγρό φυτικό εκχύλισμα,Extracto líquido de origen vegetal,Estratto liquido di origine vegetale,Vloeibaar plantaardig extract,Płynny ekstrakt roślinny,Tekoči rastlinski izvleček
A0EYH,Mammals and birds meat,Kjøtt av pattedyr og fugl,Fleisch von Säugetieren und Vögeln,Κρέας θηλαστικών και πτηνών,Carne de mamíferos y aves,Carne di mammiferi e uccelli,Vlees van zoogdieren en vogels,Mięso ssaków i ptaków,Meso sesalcev in ptic
A0EYR,Canned/jarred fish,Hermetisk fisk,Fischkonserven,Ψάρι κονσέρβας,Pescado en conserva,Pesce in scatola,Vis in blik of pot,Ryby konserwowe,Konzervirane ribe
A0EYS,Smoked fish,Røkt fisk,Räucherfisch,Καπνιστό ψάρι,Pescado ahumado,Pesce affumicato,Gerookte vis,Ryby wędzone,Prekajene ribe
A0EYT,Salt-preserved fish,Saltet fisk,Gesalzener Fisch,Παστό ψάρι,Pescado en salazón,Pesce sotto sale,Gezouten vis,Ryby solone,Nasoljene ribe
A0EYY,Dried seafood,Tørkede skalldyr og bløtdyr,Getrocknete Meeresfrüchte,Αποξηραμένα θαλασσινά,Marisco desecado,Frutti di mare essiccati,Gedroogde zeevruchten,Suszone owoce morza,Sušeni morski sadeži
A0EZA,Marinated / pickled seafood,Marinerte skalldyr og bløtdyr,Marinierte Meeresfrüchte,Μαριναρισμένα θαλασσινά,Marisco en escabeche,Frutti di mare marinati,Gemarineerde zeevruchten,Owoce morza marynowane,Marinirani morski sadeži
A0EZD,Sauces from fermented/hydrolised sources and similar,Sauser fra fermenterte råvarer,Soßen aus fermentierten Grundstoffen,Σάλτσες από ζυμωμένες πρώτες ύλες,Salsas de origen fermentado,Salse da fonti fermentate,Sauzen op basis van fermentatie,Sosy z surowców fermentowanych,Omake iz fermentiranih virov
A0F0M,Nut/seeds paste/emulsion/mass,Nøtte- og frøpasta,Nuss- und Samenpasten,Πάστα ξηρών καρπών και σπόρων,Pasta de frutos secos y semillas,Pasta di frutta a guscio e semi,Noten- en zadenpasta,Pasty z orzechów i nasion,Pasta iz oreščkov in semen
A0F0N,Dried nuts/seeds and related flours and powders,Tørkede nøtter og frø og mel av disse,Getrocknete Nüsse und Samen sowie deren Mehle,Αποξηραμένοι ξηροί καρποί σπόροι και άλευρα,Frutos secos y semillas desecados y sus harinas,Frutta a guscio e semi essiccati e relative farine,Gedroogde noten en zaden en meel daarvan,Suszone orzechy i nasiona oraz mąki z nich,Sušeni oreščki in semena ter njihove moke
A0F0P,Marinated / pickled fish,Marinert fisk,Marinierter Fisch,Μαριναρισμένο ψάρι,Pescado en escabeche,Pesce marinato,Gemarineerde vis,Ryby marynowane,Marinirane ribe
A0F0T,Porridge milk based (ready to eat),Melkegrøt ferdig,Milchbrei verzehrfertig,Χυλός γάλακτος έτοιμος,Papilla láctea lista para consumir,Pappa al latte pronta,Melkpap kant-en-klaar,Kaszka mleczna gotowa,Mlečna kaša pripravljena
A0F1G,Margarines and similar,Margarin og lignende,Margarine und ähnliche,Μαργαρίνη και παρόμοια,Margarinas y similares,Margarine e simili,Margarine en soortgelijke,Margaryny i podobne,Margarine in podobno
A0F1N,White sauces,Hvite sauser,Helle Soßen,Λευκές σάλτσες,Salsas blancas,Salse bianche,Witte sauzen,Sosy białe,Bele omake
A0F2E,"Coffee beverage-preparation, powder",Pulverkaffe,Kaffeepulver für Getränke,Σκόνη ροφήματος καφέ,Preparado de café en polvo,Preparato di caffè in polvere,Oploskoffiepoeder,Kawa w proszku do napojów,Kavni napitek v prahu
A0F4Q,Extruded breakfast cereal products,Ekstrudert frokostkorn,Extrudierte Frühstückscerealien,Εξωθημένα δημητριακά πρωινού,Cereales de desayuno extrusionados,Cereali da colazione estrusi,Geëxtrudeerde ontbijtgranen,Ekstrudowane płatki śniadaniowe,Ekstrudirani zajtrkovi kosmiči
A0F4S,Coconut water,Kokosvann,Kokoswasser,Νερό καρύδας,Agua de coco,Acqua di cocco,Kokoswater,Woda kokosowa,Kokosova voda
A0F5E,Gelatine,Gelatin,Gelatine,Ζελατίνη,Gelatina,Gelatina,Gelatine,Żelatyna,Želatina
A0F7R,Table-top sweeteners formulations,Bordsøtningsmidler,Tafelsüßstoffe,Επιτραπέζια γλυκαντικά,Edulcorantes de mesa,Dolcificanti da tavola,Tafelzoetstoffen,Słodziki stołowe,Namizna sladila
A0FAP,Alaska pollock,Alaskatorsk,Alaska-Seelachs,Μπακαλιάρος Αλάσκας,Abadejo de Alaska,Merluzzo dell'Alaska,Alaska koolvis,Mintaj,Aljaški polak
A0FDF,Tzatziki,Tzatziki,Tzatziki,Τζατζίκι,Tzatziki,Tzatziki,Tzatziki,Tzatziki,Tzatziki
A16EM,Smoked mackerel,Røkt makrell,Geräucherte Makrele,Καπνιστό σκουμπρί,Caballa ahumada,Sgombro affumicato,Gerookte makreel,Makrela wędzona,Prekajena skuša
A16EY,Sweet and sour sauce,Sursøt saus,Süßsauersoße,Γλυκόξινη σάλτσα,Salsa agridulce,Salsa agrodolce,Zoetzure saus,Sos słodko-kwaśny,Sladko-kisla omaka
A16FF,Bread- (or similar products) based dishes,Brødretter,Brotgerichte,Πιάτα με βάση το ψωμί,Platos a base de pan,Piatti a base di pane,Broodgerechten,Dania na bazie pieczywa,Jedi na osnovi kruha
A16GC,Preparations for dessert,Dessertblandinger,Dessertzubereitungen,Παρασκευάσματα επιδορπίων,Preparados para postres,Preparati per dessert,Dessertbereidingen,Preparaty do deserów,Pripravki za sladice
A16GH,Strained yoghurt,Gresk yoghurt,Griechischer Joghurt,Στραγγιστό γιαούρτι,Yogur griego,Yogurt greco,Griekse yoghurt,Jogurt typu greckiego,Grški jogurt
A16GK,Savoury sauce dry preparation,Tørr sausmiks,Trockene Soßenzubereitung,Σκόνη για αλμυρή σάλτσα,Preparado seco para salsas,Preparato secco per salse,Droge sausmix,Sos wytrawny w proszku,Suha priprava za slano omako
A16GM,Mixed roasted flours for porridge-like food,Blandet ristet mel til grøt,Geröstete Mehlmischungen für Brei,Ανάμεικτα καβουρδισμένα άλευρα για χυλό,Harinas tostadas mixtas para papillas,Farine tostate miste per pappe,Gemengde geroosterde meelsoorten voor pap,Mieszanki mąk prażonych na kaszki,Mešane pražene moke za kaše
A16GX,Herbal infusion extracts (RPC derivatives),Ekstrakter av urteteer,Kräutertee-Extrakte,Εκχυλίσματα αφεψημάτων βοτάνων,Extractos de infusiones de hierbas,Estratti di infusi di erbe,Extracten van kruidenthee,Ekstrakty naparów ziołowych,Izvlečki zeliščnih poparkov
A18FD,Binding agent,Bindemiddel,Bindemittel,Συνδετικό μέσο,Agente aglutinante,Agente legante,Bindmiddel,Środek wiążący,Vezivo
